"";"Cenario";"Ano";"Replicacao";"CustoMedSubstitu";"DiasMedAfast_Men15";"PInvalidez";"PAcaoRegressiva";"PercPresenteismo";"DespesaMedicaMedia";"CustoMedioRefugoRetrabalho";"CustoMedioMPInsumos";"PReclamatoria";"CustoMedioReclamatorias";"PercentualReabilitacao";"CustoMedioReabilitacao";"SavingProdutividade";"VarVolumeVendaQualidade";"CustoMedSubstituporTempo";"GanhoImagemReceitaEsperado";"NumeroMultasAPriori_Lei1";"NumeroMultasAPriori_Lei2";"NumeroMultasAPriori_Lei3";"NumeroMultasAPriori_Lei4";"NumeroMultasAPriori_Lei5";"CustoMedioMulta_Lei1";"CustoMedioMulta_Lei2";"CustoMedioMulta_Lei3";"CustoMedioMulta_Lei4";"CustoMedioMulta_Lei5";"Atendimento_Lei1";"Atendimento_Lei2";"Atendimento_Lei3";"Atendimento_Lei4";"Atendimento_Lei5";"DiasInterrupcaoAcidenteObito";"DiasInterrupcaoAcidenteOutros";"LucroCessanteDiario";"EventoInterdicao";"DiasInterdicaoFiscalizacao";"CustoMedio_NB_91";"CustoMedio_NB_92";"CustoMedio_NB_93";"CustoMedio_NB_94";"Pev_Afmenor15_Tipico";"Pev_Afmaior15_Tipico";"Pev_Safast_Tipico";"Pev_Obito_Tipico";"Pev_Afmenor15_Trajeto";"Pev_Afmaior15_Trajeto";"Pev_Safast_Trajeto";"Pev_Obito_Trajeto";"Pev_Afmenor15_DoenOcup";"Pev_Afmaior15_DoenOcup";"Pev_Safast_DoenOcup";"Pev_Obito_DoenOcup";"Pev_Afmenor15_NRelac";"Pev_Afmaior15_NRelac";"Pev_Safast_NRelac";"Pev_Obito_NRelac";"TaxaFaltas";"Beta0ReajustePlano";"BetaFreqReajustePlano";"BetaGravReajustePlano";"Beta0TempoContratacao";"BetaPIBTempoContratacao";"BetaFreqTempoContratacao";"BetaGravTempoContratacao";"TempoContratacaoPadrao";"Beta0IFrequenciaFAP";"Beta1IFrequenciaFAP";"Beta0IGravidadeFAP";"Beta1IGravidadeFAP";"Beta0ICustoFAP";"Beta1ICustoFAP";"Beta0DesligVoluntarios";"BetaPIBDesigVoluntarios";"BetaFreqDesligVoluntarios";"BetaGravDesligVoluntarios";"GanhoQualidade";"GanhoProdutividade";"FatorB91";"FatorB92";"FatorB93";"FatorB94";"LucroCessanteAcidenteObito";"LucroCessanteAcidenteOutros";"LucroCessanteInterdicaoFiscalizacao";"TempoComputadoMedio";"DespesasSeguroPatrimonial";"Funcionarios";"FolhadePagamento";"RATTabela";"DiasUteis";"HorasPorDia";"CustoMDO";"Crise";"FatorCrise";"NB_91_Inicial";"NB_92_Inicial";"NB_93_Inicial";"NB_94_Inicial";"NB_31_Inicial";"NB_32_Inicial";"VarPIB";"DesligamentosInvoluntarios";"FuncDesligadosInicial";"DespesasPlanoInicial";"ProducaoProjetada";"MargemMedUnitaria";"TFrMaximaImagem";"TGrMaximaImagem";"Beta0Multa1";"Beta0Multa2";"Beta0Multa3";"Beta0Multa4";"Beta0Multa5";"Beta1Multa1";"Beta1Multa2";"Beta1Multa3";"Beta1Multa4";"Beta1Multa5";"CustoTotal";"Nev_Afmenor15_Tipico";"Nev_Afmaior15_Tipico";"Nev_Safast_Tipico";"Nev_Obito_Tipico";"Nev_Afmenor15_Trajeto";"Nev_Afmaior15_Trajeto";"Nev_Safast_Trajeto";"Nev_Obito_Trajeto";"Nev_Afmenor15_DoenOcup";"Nev_Afmaior15_DoenOcup";"Nev_Safast_DoenOcup";"Nev_Obito_DoenOcup";"Nev_Afmenor15_NRelac";"Nev_Afmaior15_NRelac";"Nev_Safast_NRelac";"Nev_Obito_NRelac";"NFaltas";"NSubstituidos";"DespesaTurnover";"NumeroMultas_Lei1";"NumeroMultas_Lei2";"NumeroMultas_Lei3";"NumeroMultas_Lei4";"NumeroMultas_Lei5";"DespesaMultas";"EventosNBs";"NB_91";"NB_92";"NB_94";"NB_93";"NB_91_Acumulado";"NB_92_Acumulado";"NB_93_Acumulado";"NB_94_Acumulado";"HorasPresenteismo";"DespesaPresenteismo";"EventosDespesasMedicas";"DespesasMedicas";"EventosRefugoeRetrabalho";"DespesasRefugoERetrabalho";"EventosMPInsumos";"DespesasMPInsumos";"EventosIndiceFrequenciaAmpliado";"IndiceFrequenciaAmpliado";"IndiceGravidadeAmpliado";"PercDesligamentoVoluntarios";"DesligamentosVoluntarios";"DespesasClima";"FuncionariosDesligados";"TurnoverGeral";"NReclamatorias";"DespesasReclamatorias";"ReajustePlanoEstimado";"DespesasPlanodeSaude";"EventosReabilitacao";"DespesasReabilitacao";"TempoContratacaoEstimado";"DespesasImagemContratacao";"DespesasInterrupcaoAcidentes";"DespesasInterdicaoFiscalizacao";"HorasHomemExposicaoRisco";"EventosTaxasFrequenciaeGravidade";"TaxaFrequencia";"TaxaGravidade";"DiasAbsenteismo";"DespesaAbsenteismo";"NB_AcaoRegressivaINSSAcumulado";"AcoesRegressivasINSS_B91";"AcoesRegressivasINSS_B92";"AcoesRegressivasINSS_B93";"AcoesRegressivasINSS_B94";"AcoesRegressivasINSS";"CustoMedioPonderadoAcaoRegressiva";"DespesaAcoesRegressivasINSS";"HouveGanhoImagemReceita";"GanhoImagemReceita";"CustoTotalBeneficiosFAP";"EventosFrequenciaFAP";"FolhaSalarialMediaFAP";"FuncionariosMedioFAP";"TurnoverGeralMedioFAP";"CustoBeneficiosFAP_Ultimos2Anos";"DenomIndiceGravidadeFAP";"IndiceFrequenciaFAP";"PercentilFrequenciaFAP";"IndiceGravidadeFAP";"PercentilGravidadeFAP";"IndiceCustoFAP";"PercentilCustoFAP";"FAPSemAjuste";"FAP";"RATAjustado";"DespesaFAP";"CustoTotalDescontado";"DespesaTurnoverDescontado";"DespesaAbsenteismoDescontado";"DespesaMultasDescontado";"DespesaAcoesRegressivasINSSDescontado";"DespesaFAPDescontado";"DespesasImagemContratacaoDescontado";"DespesasReabilitacaoDescontado";"DespesasPlanodeSaudeDescontado";"DespesasReclamatoriasDescontado";"DespesasClimaDescontado";"DespesasMedicasDescontado";"DespesasRefugoERetrabalhoDescontado";"DespesasMPInsumosDescontado";"DespesaPresenteismoDescontado";"DespesasInterrupcaoAcidentesDescontado";"DespesasInterdicaoFiscalizacaoDescontado";"DespesasSeguroPatrimonialDescontado";"GanhoQualidadeDescontado";"GanhoProdutividadeDescontado"
"1";"ASIS";2017;1;0;2,14947223299024;0;0;0;327,848384456003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6926,79236925143;0;0;0;0,232723741209763;0,0151115323753782;0,12633932772495;0;0,00304838158594798;0,00304838158594798;0;0;0;0;0;0;0;0;0;0;2,66535955583468;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;48;3;26;0;1;1;0;0;0;0;0;0;0;0;0;0;552;4;0;0;0;0;0;0;0;3;7;0;0;0;7;0;0;0;0;0;77;-25244,3256031122;77;0;77;0;79;381,642512077295;67,43961352657;0,13220022506494;27;0;31;0,14975845410628;0;0;0,423354260112611;-53799,71;0;0;0;0;0;0;475437,6;77;161,956;0;657,324139416522;-64290,9970154488;7;0;0;0;0;0;0;0;TRUE;0;48487,54658476;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;0;0;-64290,9970154488;0;0;-201154,65360153;0;0;-53799,71;0;0;-25244,3256031122;0;0;0;0;0;0;0;0
"2";"ASIS";2018;1;0;1,85232256165683;0;0;0;171,211979389073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2637,8364265568;0;0;0;0,149221627877424;0,00863607031647395;0,0593919812877923;0;0,00088656320402555;0,00088656320402555;0;0;0;0;0;0;0;0;0;0;2,3322323499961;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;31;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;483;2;0;0;0;0;0;0;0;2;5;0;0;0;12;0;0;0;0;0;45;-7704,53907250829;45;0;45;0;45;217,391304347826;46,4251207729469;0,13220022506494;27;0;29;0,140096618357488;0;0;0,0650187050685475;-57297,6974772634;0;0;0;0;0;0;475437,6;45;94,65;0;540,421999411362;-52857,1325283744;12;0;0;0;0;0;0;0;TRUE;0;13189,182132784;10;5284226,59;208;0,29273622705314;60952,47958476;1000;48,0769230769231;21,2803810291799;4,80769230769231;81,6873398877218;0,011534796728836;8,56881105100121;0,991542499234481;0,99577124961724;0,0298731374885172;-129270,64740783;0;0;-48051,9386621585;0;0;-117518,770370754;0;0;-52088,8158884212;0;0;-7004,12642955299;0;0;0;0;0;0;0;0
"3";"ASIS";2019;1;0;2,038163624597;0;0;0;269,011376763659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5269,5634078078;0;0;0;0,201443823975933;0,0126842023330657;0,101056890955583;0;0,00216587981539581;0,00216587981539581;0;0;0;0;0;0;0;0;0;0;2,54057420629857;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,03;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;42;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;526;3;0;0;0;0;0;0;0;3;7;0;0;0;19;0;0;0;0;0;66;-17754,7508664015;66;0;66;0;66;318,840579710145;59,1787439613527;0,13220022506494;27;0;30;0,144927536231884;0;0;0,282491317784945;-73483,7995436586;0;0;0;0;0;0;475437,6;66;138,819;0;611,602872233074;-59819,1304343084;19;0;0;0;0;0;0;0;TRUE;0;36886,9438546546;12;5284226,59;207;0,144927536231884;61676,728717544;1200;57,9710144927536;24,9924717498187;5,79710144927536;97,3534975364677;0,0116718554110194;8,57220669269161;1,17419889769148;1,17419889769148;0,0352259669307445;-157856,427443548;0;0;-49437,2978795937;0;0;-130459,857391362;0;0;-60730,4128459988;0;0;-14673,3478234723;0;0;0;0;0;0;0;0
"4";"ASIS";2017;2;0;1,93493163708374;0;0;0;214,569766058612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3773,46390534514;0;0;0;0,172434409076036;0,0104343141618051;0,0777687944030732;0;0,00141075019210734;0,00141075019210734;0;0;0;0;0;0;0;0;0;0;2,42484335780566;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;36;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;502;2;0;0;0;0;0;0;0;2;5;0;0;0;5;0;0;0;0;0;54;-11586,767367165;54;0;54;0;54;260,869565217391;51,4975845410628;0,13220022506494;27;0;29;0,140096618357488;0;0;0,151513494217115;-53799,71;0;0;0;0;0;0;475437,6;54;113,58;0;571,657538935015;-55912,1914526878;5;0;0;0;0;0;0;0;TRUE;0;18867,3195267257;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;0;0;-55912,1914526878;0;0;-201154,65360153;0;0;-53799,71;0;0;-11586,767367165;0;0;0;0;0;0;0;0
"5";"ASIS";2018;2;0;1,90543072721304;0;0;0;199,055120519829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3359,16636675545;0;0;0;0,164144583244951;0,00979180955972927;0,0711679586622775;0;0,00121316516682698;0,00121316516682698;0;0;0;0;0;0;0;0;0;0;2,39177061150209;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;34;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;495;2;0;0;0;0;0;0;0;2;5;0;0;0;10;0;0;0;0;0;51;-10151,8111465113;51;0;51;0;51;246,376811594203;49,7584541062802;0,13220022506494;27;0;29;0,140096618357488;0;0;0,121858137937606;-60355,6424821832;0;0;0;0;0;0;475437,6;51;107,27;0;559,784644725244;-54750,9375743764;10;0;0;0;0;0;0;0;TRUE;0;16795,8318337773;8;5284226,59;208;0,287905309178744;31332,2525267257;800;38,4615384615385;17,6728562443336;3,84615384615385;66,4624824544336;0,00592939231372471;8,42993663151715;0,813624628149223;0,906812314074611;0,0272043694222383;-129270,64740783;0;0;-49773,5796130695;0;0;-117518,770370754;0;0;-54868,7658928938;0;0;-9228,91922410116;0;0;0;0;0;0;0;0
"6";"ASIS";2019;2;0;2,0098719768728;0;0;0;254,074277448993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4854,18925389792;0;0;0;0,193493425871486;0,0120674242873943;0,0946532657540968;0;0,00195103084163384;0,00195103084163384;0;0;0;0;0;0;0;0;0;0;2,50885713416727;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,03;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;40;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;519;2;0;0;0;0;0;0;0;2;5;0;0;0;15;0;0;0;0;0;62;-15752,6052018376;62;0;62;0;62;299,51690821256;55,9903381642512;0,13220022506494;27;0;29;0,140096618357488;0;0;0,228123164605846;-74124,1626470378;0;0;0;0;0;0;475437,6;62;130,406;0;599,394879074912;-58625,1014847666;15;0;0;0;0;0;0;0;TRUE;0;24270,9462694896;10;5284226,59;207;0,140096618357488;35663,151360503;1000;48,3091787439614;21,3675193090071;4,83091787439614;82,0550900672699;0,00674898223100289;8,45024204849476;0,995474261981232;0,997737130990616;0,0299321139297185;-143754,052265175;0;0;-48450,4970948484;0;0;-118805,001872045;0;0;-61259,6385512709;0;0;-13018,6819849897;0;0;0;0;0;0;0;0
"7";"ASIS";2017;3;0;1,90763328764054;0;0;0;200,21248432734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3389,81362004448;0;0;0;0,164763501646693;0,00983976925563143;0,071659574303303;0;0,00122755826261516;0,00122755826261516;0;0;0;0;0;0;0;0;0;0;2,39423984796169;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;34;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;496;2;0;0;0;0;0;0;0;2;5;0;0;0;5;0;0;0;0;0;51;-10210,8367006943;51;0;51;0;51;246,376811594203;49,8067632850241;0,13220022506494;27;0;29;0,140096618357488;0;0;0,122681897834259;-53799,71;0;0;0;0;0;0;475437,6;51;107,27;0;560,859531779778;-54856,0692077231;5;0;0;0;0;0;0;0;TRUE;0;16949,0681002224;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;0;0;-54856,0692077231;0;0;-201154,65360153;0;0;-53799,71;0;0;-10210,8367006943;0;0;0;0;0;0;0;0
"8";"ASIS";2018;3;0;1,67201950054173;0;0;0;79,3165217725282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;692,725051239158;0;0;0;0,0985760857163511;0,00474113599219337;0,0223714447872839;0;0,000173454007226832;0,000173454007226832;0;0;0;0;0;0;0;0;0;0;2,13009901146902;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;20;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;441;1;0;0;0;0;0;0;0;1;2;0;0;0;7;0;0;0;0;0;26;-2062,22956608573;26;0;26;0;26;125,6038647343;34,5893719806763;0,13220022506494;27;0;28;0,135265700483092;0;0;-0,136802469611443;-46439,7768076206;0;0;0;0;0;0;475437,6;26;54,686;0;474,440390010835;-46403,6597306018;7;0;0;0;0;0;0;0;TRUE;0;1385,45010247832;8;5284226,59;208;0,287905309178744;29414,0011002224;800;38,4615384615385;17,6728562443336;3,84615384615385;66,4624824544336;0,0055663777090646;8,42094291068043;0,813597646986713;0,906798823493356;0,0272039647048007;-129270,64740783;0;0;-42185,145209638;0;0;-117518,770370754;0;0;-42217,9789160187;0;0;-1874,75415098703;0;0;0;0;0;0;0;0
"9";"ASIS";2019;3;0;1,8376383221336;0;0;0;163,540941602797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2445,68786540629;0;0;0;0,145095658637658;0,00831680271098312;0,0561694924827222;0;0,000804060261064132;0,000804060261064132;0;0;0;0;0;0;0;0;0;0;2,31577020931149;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,03;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;30;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;479;2;0;0;0;0;0;0;0;2;5;0;0;0;12;0;0;0;0;0;44;-7195,80143052307;44;0;44;0;44;212,56038647343;45,7487922705314;0,13220022506494;27;0;29;0,140096618357488;0;0;0,0534860665154049;-48923,6577989135;0;0;0;0;0;0;475437,6;44;92,546;0;534,129149664008;-52241,6468645055;12;0;0;0;0;0;0;0;TRUE;0;12228,4393270314;7;5284226,59;207;0,13768115942029;18334,5182027007;700;33,8164251207729;15,9300906477896;3,3816425120773;59,1074788634731;0,00346966919196793;8,36899676075517;0,727692413451524;0,863846206725762;0,0259153862017729;-143751,913646529;0;0;-43174,9147640542;0;0;-118803,234418619;0;0;-40432,7750404244;0;0;-5946,9433310108;0;0;0;0;0;0;0;0
"10";"ASIS";2017;4;0;1,8308155753654;0;0;0;159,9820041641;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2357,72716071118;0;0;0;0,143178641914005;0,00816851707340719;0,0546785658341343;0;0,000767013797928895;0,000767013797928895;0;0;0;0;0;0;0;0;0;0;2,30812139529014;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;30;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;478;2;0;0;0;0;0;0;0;2;5;0;0;0;5;0;0;0;0;0;43;-6879,22617905628;43;0;43;0;43;207,729468599034;45,2657004830918;0,13220022506494;27;0;29;0,140096618357488;0;0;0,045248467548875;-53799,71;0;0;0;0;0;0;475437,6;43;90,443;0;532,924467260962;-52123,8203187658;5;0;0;0;0;0;0;0;TRUE;0;11788,6358035559;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;0;0;-52123,8203187658;0;0;-201154,65360153;0;0;-53799,71;0;0;-6879,22617905628;0;0;0;0;0;0;0;0
"11";"ASIS";2018;4;0;1,78386818807406;0;0;0;135,61142517603;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1779,87467033652;0;0;0;0,129988421318546;0,00714942883986315;0,0445598923190318;0;0,000536201639696228;0,000536201639696228;0;0;0;0;0;0;0;0;0;0;2,25548983114027;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;27;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;467;1;0;0;0;0;0;0;0;1;2;0;0;0;7;0;0;0;0;0;37;-5017,62273151309;37;0;37;0;37;178,743961352657;40,9661835748792;0,13220022506494;27;0;28;0,135265700483092;0;0;-0,0280661632532438;-52289,7585561628;0;0;0;0;0;0;475437,6;37;77,823;0;515,164441078;-50386,762873505;7;0;0;0;0;0;0;0;TRUE;0;3559,74934067305;8;5284226,59;208;0,287905309178744;24253,5688035559;800;38,4615384615385;17,6728562443336;3,84615384615385;66,4624824544336;0,00458980484475324;8,39674822648431;0,813525062934125;0,906762531467062;0,0272028759440119;-129270,64740783;0;0;-45806,1480668227;0;0;-117518,770370754;0;0;-47536,1441419662;0;0;-4561,47521046645;0;0;0;0;0;0;0;0
"12";"ASIS";2019;4;0;1,96813633576185;0;0;0;232,060066643726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4248,12976626852;0;0;0;0,181765188799976;0,0111577753049021;0,08523310423733;0;0,00164418960831271;0,00164418960831271;0;0;0;0;0;0;0;0;0;0;2,46206833086461;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,03;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;38;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;510;2;0;0;0;0;0;0;0;2;5;0;0;0;12;0;0;0;0;0;58;-13459,4838653361;58;0;58;0;58;280,193236714976;53,719806763285;0,13220022506494;27;0;29;0,140096618357488;0;0;0,189406449463154;-62193,7760675712;0;0;0;0;0;0;475437,6;58;121,993;0;584,78918075895;-57196,5598406493;12;0;0;0;0;0;0;0;TRUE;0;21240,6488313426;7;5284226,59;207;0,13768115942029;15348,3851442289;700;33,8164251207729;15,9300906477896;3,3816425120773;59,1074788634731;0,00290456604818472;8,35499627743055;0,72765041200155;0,863825206000775;0,0259147561800232;-143746,160387819;0;0;-47269,8841658259;0;0;-118798,479659354;0;0;-51399,814931877;0;0;-11123,5403845753;0;0;0;0;0;0;0;0
"13";"ASIS";2017;5;0;2,03826195570457;0;0;0;269,063308788829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5271,01240181909;0;0;0;0,201471456669024;0,012686346190744;0,101079168213696;0;0,00216663484551086;0,00216663484551086;0;0;0;0;0;0;0;0;0;0;2,5406844428907;-0,726614555615006;0;0,0170518298607175;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;42;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;526;3;0;0;0;0;0;0;0;3;7;0;0;0;7;0;0;0;0;0;66;-17758,1783800627;66;0;66;0;66;318,840579710145;59,1787439613527;0,13220022506494;27;0;30;0,144927536231884;0;0;0,282491317784945;-53799,71;0;0;0;0;0;0;475437,6;66;138,819;0;611,607002139592;-59819,5343686716;7;0;0;0;0;0;0;0;TRUE;0;36897,0868127337;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;0;0;-59819,5343686716;0;0;-201154,65360153;0;0;-53799,71;0;0;-17758,1783800627;0;0;0;0;0;0;0;0
