"";"Cenario";"Ano";"Replicacao";"CustoMedSubstitu";"DiasMedAfast_Men15";"PInvalidez";"PAcaoRegressiva";"PercPresenteismo";"DespesaMedicaMedia";"CustoMedioRefugoRetrabalho";"CustoMedioMPInsumos";"PReclamatoria";"CustoMedioReclamatorias";"PercentualReabilitacao";"CustoMedioReabilitacao";"SavingProdutividade";"VarVolumeVendaQualidade";"CustoMedSubstituporTempo";"GanhoImagemReceitaEsperado";"NumeroMultasAPriori_Lei1";"NumeroMultasAPriori_Lei2";"NumeroMultasAPriori_Lei3";"NumeroMultasAPriori_Lei4";"NumeroMultasAPriori_Lei5";"CustoMedioMulta_Lei1";"CustoMedioMulta_Lei2";"CustoMedioMulta_Lei3";"CustoMedioMulta_Lei4";"CustoMedioMulta_Lei5";"Atendimento_Lei1";"Atendimento_Lei2";"Atendimento_Lei3";"Atendimento_Lei4";"Atendimento_Lei5";"DiasInterrupcaoAcidenteObito";"DiasInterrupcaoAcidenteOutros";"LucroCessanteDiario";"EventoInterdicao";"DiasInterdicaoFiscalizacao";"CustoMedio_NB_91";"CustoMedio_NB_92";"CustoMedio_NB_93";"CustoMedio_NB_94";"Pev_Afmenor15_Tipico";"Pev_Afmaior15_Tipico";"Pev_Safast_Tipico";"Pev_Obito_Tipico";"Pev_Afmenor15_Trajeto";"Pev_Afmaior15_Trajeto";"Pev_Safast_Trajeto";"Pev_Obito_Trajeto";"Pev_Afmenor15_DoenOcup";"Pev_Afmaior15_DoenOcup";"Pev_Safast_DoenOcup";"Pev_Obito_DoenOcup";"Pev_Afmenor15_NRelac";"Pev_Afmaior15_NRelac";"Pev_Safast_NRelac";"Pev_Obito_NRelac";"TaxaFaltas";"Beta0ReajustePlano";"BetaFreqReajustePlano";"BetaGravReajustePlano";"Beta0TempoContratacao";"BetaPIBTempoContratacao";"BetaFreqTempoContratacao";"BetaGravTempoContratacao";"TempoContratacaoPadrao";"Beta0IFrequenciaFAP";"Beta1IFrequenciaFAP";"Beta0IGravidadeFAP";"Beta1IGravidadeFAP";"Beta0ICustoFAP";"Beta1ICustoFAP";"Beta0DesligVoluntarios";"BetaPIBDesigVoluntarios";"BetaFreqDesligVoluntarios";"BetaGravDesligVoluntarios";"GanhoQualidade";"GanhoProdutividade";"FatorB91";"FatorB92";"FatorB93";"FatorB94";"LucroCessanteAcidenteObito";"LucroCessanteAcidenteOutros";"LucroCessanteInterdicaoFiscalizacao";"TempoComputadoMedio";"DespesasSeguroPatrimonial";"Funcionarios";"FolhadePagamento";"RATTabela";"DiasUteis";"HorasPorDia";"CustoMDO";"Crise";"FatorCrise";"NB_91_Inicial";"NB_92_Inicial";"NB_93_Inicial";"NB_94_Inicial";"NB_31_Inicial";"NB_32_Inicial";"VarPIB";"DesligamentosInvoluntarios";"FuncDesligadosInicial";"DespesasPlanoInicial";"ProducaoProjetada";"MargemMedUnitaria";"TFrMaximaImagem";"TGrMaximaImagem";"Beta0Multa1";"Beta0Multa2";"Beta0Multa3";"Beta0Multa4";"Beta0Multa5";"Beta1Multa1";"Beta1Multa2";"Beta1Multa3";"Beta1Multa4";"Beta1Multa5";"CustoTotal";"Nev_Afmenor15_Tipico";"Nev_Afmaior15_Tipico";"Nev_Safast_Tipico";"Nev_Obito_Tipico";"Nev_Afmenor15_Trajeto";"Nev_Afmaior15_Trajeto";"Nev_Safast_Trajeto";"Nev_Obito_Trajeto";"Nev_Afmenor15_DoenOcup";"Nev_Afmaior15_DoenOcup";"Nev_Safast_DoenOcup";"Nev_Obito_DoenOcup";"Nev_Afmenor15_NRelac";"Nev_Afmaior15_NRelac";"Nev_Safast_NRelac";"Nev_Obito_NRelac";"NFaltas";"NSubstituidos";"DespesaTurnover";"NumeroMultas_Lei1";"NumeroMultas_Lei2";"NumeroMultas_Lei3";"NumeroMultas_Lei4";"NumeroMultas_Lei5";"DespesaMultas";"EventosNBs";"NB_91";"NB_92";"NB_94";"NB_93";"NB_91_Acumulado";"NB_92_Acumulado";"NB_93_Acumulado";"NB_94_Acumulado";"HorasPresenteismo";"DespesaPresenteismo";"EventosDespesasMedicas";"DespesasMedicas";"EventosRefugoeRetrabalho";"DespesasRefugoERetrabalho";"EventosMPInsumos";"DespesasMPInsumos";"EventosIndiceFrequenciaAmpliado";"IndiceFrequenciaAmpliado";"IndiceGravidadeAmpliado";"PercDesligamentoVoluntarios";"DesligamentosVoluntarios";"DespesasClima";"FuncionariosDesligados";"TurnoverGeral";"NReclamatorias";"DespesasReclamatorias";"ReajustePlanoEstimado";"DespesasPlanodeSaude";"EventosReabilitacao";"DespesasReabilitacao";"TempoContratacaoEstimado";"DespesasImagemContratacao";"DespesasInterrupcaoAcidentes";"DespesasInterdicaoFiscalizacao";"HorasHomemExposicaoRisco";"EventosTaxasFrequenciaeGravidade";"TaxaFrequencia";"TaxaGravidade";"DiasAbsenteismo";"DespesaAbsenteismo";"NB_AcaoRegressivaINSSAcumulado";"AcoesRegressivasINSS_B91";"AcoesRegressivasINSS_B92";"AcoesRegressivasINSS_B93";"AcoesRegressivasINSS_B94";"AcoesRegressivasINSS";"CustoMedioPonderadoAcaoRegressiva";"DespesaAcoesRegressivasINSS";"HouveGanhoImagemReceita";"GanhoImagemReceita";"CustoTotalBeneficiosFAP";"EventosFrequenciaFAP";"FolhaSalarialMediaFAP";"FuncionariosMedioFAP";"TurnoverGeralMedioFAP";"CustoBeneficiosFAP_Ultimos2Anos";"DenomIndiceGravidadeFAP";"IndiceFrequenciaFAP";"PercentilFrequenciaFAP";"IndiceGravidadeFAP";"PercentilGravidadeFAP";"IndiceCustoFAP";"PercentilCustoFAP";"FAPSemAjuste";"FAP";"RATAjustado";"DespesaFAP";"CustoTotalDescontado";"DespesaTurnoverDescontado";"DespesaAbsenteismoDescontado";"DespesaMultasDescontado";"DespesaAcoesRegressivasINSSDescontado";"DespesaFAPDescontado";"DespesasImagemContratacaoDescontado";"DespesasReabilitacaoDescontado";"DespesasPlanodeSaudeDescontado";"DespesasReclamatoriasDescontado";"DespesasClimaDescontado";"DespesasMedicasDescontado";"DespesasRefugoERetrabalhoDescontado";"DespesasMPInsumosDescontado";"DespesaPresenteismoDescontado";"DespesasInterrupcaoAcidentesDescontado";"DespesasInterdicaoFiscalizacaoDescontado";"DespesasSeguroPatrimonialDescontado";"GanhoQualidadeDescontado";"GanhoProdutividadeDescontado"
"1";"ASIS";2017;1;0;0;0;0;0;327,848384456003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6926,79236925143;0;0;0;0,232723741209763;0,0151115323753782;0,12633932772495;0;0,00304838158594798;0,00304838158594798;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;48;3;26;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;3;7;0;0;0;7;0;0;0;0;0;77;-25244,3256031122;77;0;77;0;79;381,642512077295;40,7729468599034;0,13220022506494;27;0;31;0,14975845410628;0;0;0,437650853842523;-53799,71;0;0;0;0;0;0;475437,6;77;161,956;0;0;0;7;0;0;0;0;0;0;0;TRUE;0;48487,54658476;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;0;0;0;0;0;-201154,65360153;0;0;-53799,71;0;0;-25244,3256031122;0;0;0;0;0;0;0;0
"2";"Iniciativa1";2017;1;0;0;0;0;0;327,848384456003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6926,79236925143;0;0;0;0,15141006603703;0,00808058770354824;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;140929;31;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;5;0;0;0;0;0;48;-15736,7224538881;48;0;48;0;48;231,884057971014;24,3961352657005;0,13220022506494;27;0;29;0,140096618357488;0;0;0,092860234128441;-53799,71;0;0;0;0;0;0;475437,6;48;100,96;0;0;0;5;0;0;0;0;0;0;0;TRUE;0;34633,9618462571;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;140929;0;0;0;0;-201154,65360153;0;0;-53799,71;0;0;-15736,7224538881;0;0;0;0;0;0;0;0
"3";"Iniciativa2";2017;1;0;0;0;0;0;327,848384456003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6926,79236925143;0;0;0;0,126175055030858;0,00858562443502;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;9500;26;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;5;0;0;0;0;0;43;-14097,4805316081;43;0;43;0;43;207,729468599034;21,9806763285024;0,13220022506494;27;0;29;0,140096618357488;0;0;0,0420061604242991;-53799,71;0;0;0;0;0;0;475437,6;43;90,443;0;0;0;5;0;0;0;0;0;0;0;TRUE;0;34633,9618462571;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;9500;0;0;0;0;-201154,65360153;0;0;-53799,71;0;0;-14097,4805316081;0;0;0;0;0;0;0;0
"4";"ASIS";2018;1;0;0;0;0;0;171,211979389073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2637,8364265568;0;0;0;0,149221627877424;0,00863607031647395;0,0593919812877923;0;0,00088656320402555;0,00088656320402555;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;31;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;12;0;0;0;0;0;45;-7704,53907250829;45;0;45;0;45;217,391304347826;23,0917874396135;0,13220022506494;27;0;29;0,140096618357488;0;0;0,0653990343282045;-57318,1590811374;0;0;0;0;0;0;475437,6;45;94,65;0;0;0;12;0;0;0;0;0;0;0;TRUE;0;13189,182132784;10;5284226,59;208;0,29273622705314;60952,47958476;1000;48,0769230769231;21,2803810291799;4,80769230769231;81,6873398877218;0,011534796728836;8,56881105100121;0,991542499234481;0,99577124961724;0,0298731374885172;-129270,64740783;0;0;0;0;0;-117518,770370754;0;0;-52107,4173464886;0;0;-7004,12642955299;0;0;0;0;0;0;0;0
"5";"Iniciativa1";2018;1;0;0;0;0;0;171,211979389073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2637,8364265568;0;0;0;0,15141006603703;0,00808058770354824;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;14000;31;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;10;0;0;0;0;0;48;-8218,17501067551;48;0;48;0;48;231,884057971014;24,3961352657005;0,13220022506494;27;0;29;0,140096618357488;0;0;0,092860234128441;-58795,5636666422;0;0;0;0;0;0;475437,6;48;100,96;0;0;0;10;0;0;0;0;0;0;0;TRUE;0;13189,182132784;8;5284226,59;208;0,287905309178744;47098,8948462571;800;38,4615384615385;17,6728562443336;3,84615384615385;66,4624824544336;0,00891311037558235;8,50385852600661;0,813846393832691;0,906923196916346;0,0272076959074904;-129270,64740783;12727,2727272727;0;0;0;0;-117518,770370754;0;0;-53450,5124242202;0;0;-7471,06819152319;0;0;0;0;0;0;0;0
"6";"Iniciativa2";2018;1;0;0;0;0;0;171,211979389073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2637,8364265568;0;0;0;0,126175055030858;0,00858562443502;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;1500;26;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;10;0;0;0;0;0;43;-7362,11511373014;43;0;43;0;43;207,729468599034;21,9806763285024;0,13220022506494;27;0;29;0,140096618357488;0;0;0,0420061604242991;-56059,6292490408;0;0;0;0;0;0;475437,6;43;90,443;0;0;0;10;0;0;0;0;0;0;0;TRUE;0;13189,182132784;8;5284226,59;208;0,287905309178744;47098,8948462571;800;38,4615384615385;17,6728562443336;3,84615384615385;66,4624824544336;0,00891311037558235;8,50385852600661;0,813846393832691;0,906923196916346;0,0272076959074904;-129270,64740783;1363,63636363636;0;0;0;0;-117518,770370754;0;0;-50963,2993173098;0;0;-6692,83192157286;0;0;0;0;0;0;0;0
"7";"ASIS";2019;1;0;0;0;0;0;269,011376763659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5269,5634078078;0;0;0;0,201443823975933;0,0126842023330657;0,101056890955583;0;0,00216587981539581;0,00216587981539581;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,03;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;42;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;7;0;0;0;19;0;0;0;0;0;66;-17754,7508664015;66;0;66;0;66;318,840579710145;33,768115942029;0,13220022506494;27;0;30;0,144927536231884;0;0;0,290174040100512;-73950,4008728349;0;0;0;0;0;0;475437,6;66;138,819;0;0;0;19;0;0;0;0;0;0;0;TRUE;0;36886,9438546546;12;5284226,59;207;0,144927536231884;61676,728717544;1200;57,9710144927536;24,9924717498187;5,79710144927536;97,3534975364677;0,0116718554110194;8,57220669269161;1,17419889769148;1,17419889769148;0,0352259669307445;-157856,427443548;0;0;0;0;0;-130459,857391362;0;0;-61116,0337792024;0;0;-14673,3478234723;0;0;0;0;0;0;0;0
"8";"Iniciativa1";2019;1;0;0;0;0;0;269,011376763659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5269,5634078078;0;0;0;0,15141006603703;0,00808058770354824;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,03;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;14000;31;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;15;0;0;0;0;0;48;-12912,5460846556;48;0;48;0;48;231,884057971014;24,3961352657005;0,13220022506494;27;0;29;0,140096618357488;0;0;0,092860234128441;-64255,3334744403;0;0;0;0;0;0;475437,6;48;100,96;0;0;0;15;0;0;0;0;0;0;0;TRUE;0;26347,817039039;10;5284226,59;207;0,140096618357488;47823,1439790411;1000;48,3091787439614;21,3675193090071;4,83091787439614;82,0550900672699;0,00905016905776577;8,507254167697;0,995645298338839;0,99782264916942;0,0299346794750826;-143771,630166995;11570,2479338843;0;0;0;0;-118819,529063632;0;0;-53103,5813838349;0;0;-10671,525689798;0;0;0;0;0;0;0;0
"9";"Iniciativa2";2019;1;0;0;0;0;0;269,011376763659;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5269,5634078078;0;0;0;0,126175055030858;0,00858562443502;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,03;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;1500;26;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;15;0;0;0;0;0;43;-11567,4892008373;43;0;43;0;43;207,729468599034;21,9806763285024;0,13220022506494;27;0;29;0,140096618357488;0;0;0,0420061604242991;-58414,4790286027;0;0;0;0;0;0;475437,6;43;90,443;0;0;0;15;0;0;0;0;0;0;0;TRUE;0;26347,817039039;10;5284226,59;207;0,140096618357488;47823,1439790411;1000;48,3091787439614;21,3675193090071;4,83091787439614;82,0550900672699;0,00905016905776577;8,507254167697;0,995645298338839;0,99782264916942;0,0299346794750826;-143771,630166995;1239,6694214876;0;0;0;0;-118819,529063632;0;0;-48276,4289492584;0;0;-9559,90843044409;0;0;0;0;0;0;0;0
"10";"ASIS";2017;2;0;0;0;0;0;214,569766058612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3773,46390534514;0;0;0;0,172434409076036;0,0104343141618051;0,0777687944030732;0;0,00141075019210734;0,00141075019210734;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;36;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;5;0;0;0;0;0;54;-11586,767367165;54;0;54;0;54;260,869565217391;27,2463768115942;0,13220022506494;27;0;29;0,140096618357488;0;0;0,152868041099328;-53799,71;0;0;0;0;0;0;475437,6;54;113,58;0;0;0;5;0;0;0;0;0;0;0;TRUE;0;18867,3195267257;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;0;0;0;0;0;-201154,65360153;0;0;-53799,71;0;0;-11586,767367165;0;0;0;0;0;0;0;0
"11";"Iniciativa1";2017;2;0;0;0;0;0;214,569766058612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3773,46390534514;0;0;0;0,15141006603703;0,00808058770354824;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;140929;31;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;5;0;0;0;0;0;48;-10299,3487708134;48;0;48;0;48;231,884057971014;24,3961352657005;0,13220022506494;27;0;29;0,140096618357488;0;0;0,092860234128441;-53799,71;0;0;0;0;0;0;475437,6;48;100,96;0;0;0;5;0;0;0;0;0;0;0;TRUE;0;18867,3195267257;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;140929;0;0;0;0;-201154,65360153;0;0;-53799,71;0;0;-10299,3487708134;0;0;0;0;0;0;0;0
"12";"Iniciativa2";2017;2;0;0;0;0;0;214,569766058612;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3773,46390534514;0;0;0;0,126175055030858;0,00858562443502;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,01;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;9500;26;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;5;0;0;0;0;0;43;-9226,49994052031;43;0;43;0;43;207,729468599034;21,9806763285024;0,13220022506494;27;0;29;0,140096618357488;0;0;0,0420061604242991;-53799,71;0;0;0;0;0;0;475437,6;43;90,443;0;0;0;5;0;0;0;0;0;0;0;TRUE;0;18867,3195267257;6;4891903,4675;210;0,4535125;18982,553;600;28,5714285714286;13,9622593227775;2,85714285714286;50,80262909448;0,00388040220460462;8,37917270961964;0,630899624333102;0,815449812166551;0,0244634943649965;-201154,65360153;9500;0;0;0;0;-201154,65360153;0;0;-53799,71;0;0;-9226,49994052031;0;0;0;0;0;0;0;0
"13";"ASIS";2018;2;0;0;0;0;0;199,055120519829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3359,16636675545;0;0;0;0,164144583244951;0,00979180955972927;0,0711679586622775;0;0,00121316516682698;0,00121316516682698;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;0;34;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;10;0;0;0;0;0;51;-10151,8111465113;51;0;51;0;51;246,376811594203;25,8454106280193;0,13220022506494;27;0;29;0,140096618357488;0;0;0,123372678350926;-60437,1243172031;0;0;0;0;0;0;475437,6;51;107,27;0;0;0;10;0;0;0;0;0;0;0;TRUE;0;16795,8318337773;8;5284226,59;208;0,287905309178744;31332,2525267257;800;38,4615384615385;17,6728562443336;3,84615384615385;66,4624824544336;0,00592939231372471;8,42993663151715;0,813624628149223;0,906812314074611;0,0272043694222383;-129270,64740783;0;0;0;0;0;-117518,770370754;0;0;-54942,8402883665;0;0;-9228,91922410116;0;0;0;0;0;0;0;0
"14";"Iniciativa1";2018;2;0;0;0;0;0;199,055120519829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3359,16636675545;0;0;0;0,15141006603703;0,00808058770354824;0,0733910638060932;0;0,00079960019990005;0,00079960019990005;0;0;0;0;0;0;0;0;0;0;0;-0,420765910283392;0;0,0210535865135147;0;0;0;0;0;3,24275710494875;0,375182577624007;5,56305272128069;15,8338517306198;8,28303538149459;24,7750936773954;0,13220022506494;0;0;0;0;0;2,4;0;1;0;0;0;0;0;0;207;5284226,59;0,03;261;8,8;11,1144482262236;0;0,1;0;0;0;0;0;0;0,02;0;0;53799,71;1;0;10000;10000;0;0;0;0;0;0;0;0;0;0;14000;31;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;5;0;0;0;10;0;0;0;0;0;48;-9554,64578495179;48;0;48;0;48;231,884057971014;24,3961352657005;0,13220022506494;27;0;29;0,140096618357488;0;0;0,092860234128441;-58795,5636666422;0;0;0;0;0;0;475437,6;48;100,96;0;0;0;10;0;0;0;0;0;0;0;TRUE;0;16795,8318337773;8;5284226,59;208;0,287905309178744;31332,2525267257;800;38,4615384615385;17,6728562443336;3,84615384615385;66,4624824544336;0,00592939231372471;8,42993663151715;0,813624628149223;0,906812314074611;0,0272043694222383;-129270,64740783;12727,2727272727;0;0;0;0;-117518,770370754;0;0;-53450,5124242202;0;0;-8686,04162268345;0;0;0;0;0;0;0;0
